Temperature,Resistance,Voltage,Current Source
293.2483599710087,93.79821347744272,4.0280174220000005,0.04294343434343435
293.26088914171316,92.9602028075233,4.038886064000001,0.043447474747474756
293.27588342179854,90.38896552950908,3.9727319879999996,0.04395151515151516
293.2881147158663,88.043658167958,3.914029737,0.04445555555555556
293.30306924679985,83.44979566479442,3.751869096,0.04495959595959596
293.3170183161648,84.35663153569284,3.835159221,0.04546363636363637
293.3306470576964,85.15489194251559,3.9143725480000002,0.045967676767676775
293.3449509637551,83.4970880387767,3.88025306,0.04647171717171718
293.3595651851181,84.6417787001677,3.976111677,0.04697575757575758
293.37392613256674,81.13351542984788,3.852202922,0.04747979797979799
293.38819011332004,86.48680069741494,4.1499686669999996,0.04798383838383839
293.40184106695364,84.88663030623084,4.115972641,0.048487878787878795
293.4157996716053,80.94787155539977,3.965791582,0.0489919191919192
